"Skeleton_Metabolite","COPD.0001.Lower.R.05.12.2015","SmNV.0004.Lower.L.06.15.2015","COPD.0002.Lower.L.06.16.2015","COPD.0002.Lower.R.06.16.2015","SmNV.0005.Lower.L.06.17.2015","COPD.0003.Lower.L.06.18.2015","SmNV.0008.Lower.L.06.22.2015","SmNV.0006.Lower.R.06.23.2015","COPD.0007.Lower.L.06.29.2015","SmNV.0009.Lower.L.07.08.2015","SmNV.0012.Lower.R.07.27.2015","SmNV.0013.Lower.R.01.13.2016","SmNV.0014.Lower.R.03.30.2016","SmNV.0016.Lower.L.04.04.2016","COPD.0021.Lower.R.04.14.2016","SmNV.0023.Lower.R.05.31.2016","COPD.0026.Lower.R.06.23.2016","SmNV.0027.Lower.L.08.30.2016","COPD.0030.Lower.R.09.15.2016","SmNV.0032.Lower.R.09.29.2016","COPD.0035.Lower.R.10.13.2016","SmNV.0038.Lower.L.10.26.2016","SmNV.0039.Lower.R.11.10.2016","COPD.0041.Lower.L.11.22.2016","COPD.0041.Lower.R.11.22.2016","SmNV.0043.Lower.R.12.07.2016","SmNV.0044.Lower.R.12.14.2016","COPD.0036.2.Lower.R.12.20.2016","SmNV.0047.Lower.R.02.01.2017","COPD.0050.Lower.R.03.15.2017","COPD.0049.Lower.R.03.21.2017","SmNV.0052.Lower.R.07.06.2017","COPD.0051.Lower.R.08.21.2017","SmNV.0055.Lower.R.08.22.2017","COPD.0056.Lower.R.10.23.2017","SmNV.0060.Lower.R.11.08.2017","SmNV.0064.Lower.R.11.21.2017","SmNV.0067.Lower.R.11.29.2017","COPD.0068.Lower.R.12.12.2017","COPD.0073.Lower.R.12.19.2017","COPD.0079.Lower.R.01.16.2018","SmNV.0085.Lower.R.01.30.2018","SmNV.0091.Lower.R.05.01.2018","SmNV.0093.Lower.R.05.14.2018","SmNV.0098.Lower.RML.06.12.2018","SmNV.0099.Lower.R.06.19.2018","SmNV.0105.Lower.R.07.11.2018","COPD.0101.Lower.R.07.17.2018","COPD.0102.Lower.R.07.24.2018","SmNV.0107.Lower.R.08.01.2018","COPD.0111.Lower.R.08.29.2018","COPD.0115.Lower.R.10.03.2018","COPD.0116.Lower.R.10.16.2018","COPD.0117.Lower.R.10.23.2018","COPD.0121.Lower.R.11.14.2018","COPD.0122.Lower.R.12.26.2018","COPD.0035.Lower.L.10.13.2016","COPD.0066.Lower.R.12.11.2017","COPD.0001.BKG.05.12.2015","SmNV.0004.BKG.06.15.2015","SmNV.0005.BKG.06.17.2015","COPD.0003.BKG.06.18.2015","SmNV.0008.BKG.06.22.2015","COPD.0007.BKG.06.29.2015","SmNV.0013.BKG.01.13.2016","COPD.0021.BKG.04.14.2016","COPD.0026.BKG.06.23.2016","COPD.0030.BKG.09.15.2016","COPD.0001.Upper.05.12.2015","SmNV.0012.Upper.07.27.2015","SmNV.0013.Upper.01.13.2016","SmNV.0044.Upper.12.14.2016","SmNV.0047.Upper.02.01.2017","COPD.0066.Upper.12.11.2017","COPD.0049.Upper.03.21.2017","COPD.0117.Upper.10.23.2018","KEGG"
"trans-4-hydroxy-l-proline","16.8177098261304","12.7505682201279","20.3066759086102","2.08471780369977","21.0430492145251","6.3113804518895","10.6743132808814","11.773013007612","18.8310058534182","19.8270583644332","10.3961816992582","26.5185906122951","10.5586365271514","3.01503710941024","5.57390382641027","20.4233419370561","13.9435526401703","11.1374370395261","21.588973149332","5.18881935673791","19.6042234332425","11.9166008125992","10.1906539351851","0.223541840912092","20.9378546060096","12.0799963726484","18.7386241938451","21.8109708363195","15.718296718772","20.4369088658047","22.5786177953564","0","21.6264684229855","14.4837588014735","17.0052005242958","10.7906825215833","13.9758527681248","1.74695549046844","46.3093677387011","16.4311290772098","25.9928924172976","10.0702118451576","17.7044873899776","10.8840085410658","21.4408108428191","11.1188718188274","15.4528431027585","2.01298179846052","3.65099728636742","8.33329421473132","21.6726372780425","19.033655270083","0","15.0613704642326","16.6436095157254","15.7893413996171","19.0960127889446","15.8150436227256","0","0.211718759560367","0.171361813154717","1.22524633589008","1.33448767650025","0","0","2.84573720933783","1.86118435683197","3.04057261608602","2.63477984687037","3.75133213940301","6.85820223854763","4.68477033228304","4.53785175854541","7.34138349249701","2.02358414030988","7.95775130291501","C03440"
"psilocybin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0324177038073495","0","0","0","0","0","0","0","0","0.0285435834180961","0","0","0","0","0","0","0","0","0","0","0.0148229496538074","0","0","0","0","0","0","0","0","0","0.0294424898683683","0","0","0","0","0","0.0274057252503674","0","0","0","0","0","0","0","0","0","0","0","0","0.0316201536419165","0.0231239663063964","0","0","0","0","0","C07576"
"trans-zeatin","0","0.0735171574142721","0.386875554557796","0.0317882548702934","0.137205074300032","0.419052121800687","0","0.285397054634346","1.08996114930872","0.197544455946435","0","0.318377091570781","0.0969947632189265","0.0930510008649814","0","0.212145973464763","0.162958984856805","0.620216887018951","0.173794961912508","0.505806158713494","0.525214001692151","0.319717192439766","0.122405283383846","0.19190012499345","0.228147308142827","0.663232931684406","0.0441101953549909","0.253954705447459","0.176472201342065","0.64636461085175","0.237289876021079","0.162864075114998","0.139260568541211","0.150677947883236","0.36982220626152","0.131885440793428","0.0855444648548096","0.309599106953028","0.0686283807749867","0.0237885755865106","0.660673643719751","0","0.148403761608183","0.121013528639068","0.227540716861251","0.105309345853775","0","3.8910498891404","0.278145081689274","0.143906716627198","0.225241033971018","0.407838917597628","1.2057336789197","0.67310367849256","0.186869973302216","0.230826267338359","1","0.234759953832893","0","0","0","0","0","0","0","0","0","0","0","1.22591016040317","1.12725881392979","0.247701499299194","0.633069980825795","1.25115866337245","2.93266372552098","1.0916488370991","C00371"
"esculin","0.496496710810297","0","0.3685287011968","0.0852097325321079","0.21309312117289","0.465883970404674","0.427977051026464","0.13130446345633","0.451479697178251","0.380193477309427","0.283577317803582","0.193349191156262","0.438632009570578","0.657116267558976","0.485889175615305","3.07227681093595","0.728978839460162","3.52769903374216","0","0","0","0","0","0","0","0","0","0","0.804109163028681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.190966034313673","0","0","0","0.54171788325769","0.235878602795301","0","0","0","8.50816991818331","1.31094790937183","0","0","0","0","0","0","0","C09264"
"propamocarb","0.168496296424193","0.18830978165122","0.303205527798711","0","0.178280083548435","0","0.0496690051893899","1.08342875947923","0.090791281790414","0.124220884079624","0.0346691617512913","0.808142455056339","0.072264562924046","0","0.0410022475651377","0.187821485674616","0.131905553574388","0.285886129570778","3.44551239657275","0.0714553638409602","0.262141296609961","0.0365635466092852","0.290875771604938","0","0.144648304522746","0.0931034978506836","0.375365040124927","0.264741716742929","0.163812021780969","0.243097393601598","0.256301440173907","0","0.513335249962193","0.0805802926820106","0.462111139400454","0.153356335796472","0.104738367352059","0","0.707349048656354","0.103752346270584","0.582390045192601","0.0963316192539588","0.230085188062458","0.125408847984662","0.845515843508345","0.125333072754052","0.163763393696346","0","0.0694436525283242","0.255435157191582","0.399267086988885","0.259430863033331","0","0.328937807069235","0.0757250890170097","0.139567167886838","0.354046051543322","0.234461313698488","0","0","0","0","0","0","0.0540625723865832","0.100359558453058","0","0.0479955415445459","0.0406280345413791","0.127752996164468","0.322138543790145","0.0471748988430974","0.0936516939148327","0.219056616127131","0.367458276782936","0.218897127569959","C18885"
"allantoic acid","0","0.0539553558417379","0","0","0.132963712105868","0.164561587582988","0","0.136988896127563","0.042417141791749","0.0600762784400218","0","0.053879322599293","0","0","0","0.192680927429628","0.0326398690085737","0","0","0","0","0","0","0","0","0.0483720601034458","0","0","0","0","0","0.0873640436284618","0","0.0847758867213087","0.0953869510688656","0","0.0757712235450565","0","0.0900762456409953","0","0.0403512853239664","0.0427050376730095","0.0349668831740895","0.0662755439992429","0.0227988871393929","0","0.116044961367349","0","0","0","0.16086295417385","0.0234303455741924","0","0.133490837180548","0.078547176259191","0.11331208209907","0","0.04130195964738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C00499"
"(.+/-.)-catechin","0.157847650809046","1.48888267772674","1.2262181563559","0.215844611225785","1.6216531096614","0.287589499823236","0.0751373305657685","0.651883748815825","1.86365118990334","0.566572927309287","0.184056645176444","2.54293534771722","0.317310287759915","0.303824445343909","1.34619155751125","1.63429020480965","0.766953494710841","1.81787189283408","1.52177177177177","1.05863344506753","5.57334275678887","0.733435776612212","0.475903236404847","0.731054510616958","0.526595440650956","0.948239990348573","1.45450298539526","1.87486770947167","0.442556903280482","4.18908123876077","2.82372874194363","0.79902053662593","5.404943222964","1.82380648925878","0.756891188757036","3.57082988861445","1.70099890789545","1.9978555484584","1.57364773742481","0.664365645910714","2.47998318330038","0.21293515720099","0.6092301324786","2.80561419514523","1.84817902403887","3.3536376246273","0.241592395554906","1.42001794205552","3.65542515351488","2.66344905516863","17.0151475450005","6.68533865010149","0.499153695244368","1.47232143273993","2.10507925519061","1.0243154478722","5.89127667719024","2.9568693464374","0","0","0","0","0","0","0","0","0","0","0.129023053679736","8.48801102364018","8.62862397422726","0.615118995370435","2.81320137503567","0.359712442132582","2.45471446813409","1.88445529000535","C06562"
"r-(-)-mandelic acid","901.774627364747","16.4403307601751","111.73921084421","2.90088985234381","0","7.33454469560476","8.33608208275497","18.9912195509741","48.9422600574202","5.14749899123413","0","2.26777065575789","4.50540370316286","160.203838252005","259.821474299922","1.04463979918697","26.2972685957665","2.48678795237465","147.929953803889","20.6721928077951","63.4261985866922","84.7158367692568","13.9980360814657","4.56787144386147","15.7477504665967","15.4392901968171","1.96427073494259","7.01180322497903","1.11316794746239","241.190406223091","3.6681556845863","5.40719395936183","37.2472399705122","3.74368349123965","2.23351409246581","24.7296218485856","0.695901489004937","59.6361999951325","26.4281262269801","0","0.9765034427412","0","1.71788211815503","0.854430492023467","0","4.01514889338508","6.38818509191855","9.47885115066213","48.8389977911428","5.29121778113401","73.4446126758476","3.62188706087307","46.5827416837311","0.976271762118856","1.20477251006337","1.52606260079288","316.810042514417","4.73863464146163","0","1.01695014156522","0","2.70461951673037","0","0","0","0","0","0","1540.88530227317","47.4002494904637","0.563824309069923","104.404354904931","8.10943924416061","31.0121765513149","54.4090390512973","3.65824819487018","C01984"
"n-ethylmaleimide","0.0947165771707788","12.0870328360546","3.9880707597932","1.42094968775774","3.91581808140172","4.68428155357368","4.99438145820334","6.02283530930029","6.16701231680734","4.4932356244893","6.86679357183291","0.144545635465926","0.326165159412045","0.330904056900236","0.121657093704042","5.1905484596382","14.7984248883709","2.27734066397606","1.42339586731919","1.00272536488552","0.519249085597859","0","0.257494212962963","0.161561825945327","0.310547180099326","0.325833489080897","0.212881493468199","0.237730856166271","1","0.244191639089992","0.224129706228676","0.248625611636296","1.68704995920239","0.677044911873742","0.316725131309702","2.78592496960901","0.468181304964183","0.26896379712668","0.787300511223925","0.881505404152888","0.63465809341574","0.417319638618665","0.667641083551576","0.518106565841496","0.448702989308228","0.474645953791666","0.583998901030043","0.277445504800144","0.409114426599934","0.692268860288844","0.453769857679999","0.196285528506211","0","0.567812817463043","0.771129827036918","0.936022929622508","0.500275297865201","2.9082423431067","0","0","0","0","0","0","0","0","0","0","0","0.0884820046261735","0.0470418093003577","0","0.157906364793478","0","0.0991411975131187","0","C02441"
"pgb2","0.320622435399186","2.78718553030823","0.947054429513699","0.892296486940099","2.50235653923589","2.00066446031766","0.72409705634081","1.27123200551179","1.48720187826783","1.12320543643313","1.43723536429326","0.889302376489581","0.818963529367225","0.745687188243804","0.268637111543399","4.56651796621797","7.34218620718102","0.466856262780721","0.55738319239171","5.72092568957172","0.737946755838571","0.26594248484387","0.258326657733052","0.164009370766501","0.556770853576657","0.631803709167515","0.478973337743511","0.469348473189478","1.41633054935411","0.461220133669948","0.547252408190057","1","1.46869505645132","0.713880656603657","0.621616423282268","3.15461948701575","0.797862901311177","0.500858010215303","1","0.505894829955913","0.925293711058584","0.360831596291026","1.69431708671382","2.02543705149161","1.24900239803857","1.41290085643118","0","1.01459721014981","1.27502948117254","1.69071393491176","1.21799035271287","0.640408342262429","0.321953804075437","1.31829126807382","1.37568622157781","1.69909530233056","0.347298404867826","3.50289412490654","4.48641582237778","0.967925659108011","0.426557613375312","0","0","0","1.00209867144383","0.91504264733812","0","1.03627121738192","0.392051565323636","0","0.564181981913422","0.072096612065182","0.511219849388562","0.420434766371067","0","0.316879102774851","C05954"
"3-cresotinic acid","901.774627364747","16.4403307601751","111.73921084421","2.90088985234381","0","7.33454469560476","8.33608208275497","18.9912195509741","48.9422600574202","5.14749899123413","0","2.26777065575789","4.50540370316286","160.203838252005","259.821474299922","1.04463979918697","26.2972685957665","2.48678795237465","147.929953803889","20.6721928077951","63.4261985866922","84.7158367692568","13.9980360814657","4.56787144386147","15.7477504665967","15.4392901968171","1.96427073494259","7.01180322497903","1.11316794746239","241.190406223091","3.6681556845863","5.40719395936183","37.2472399705122","3.74368349123965","2.23351409246581","24.7296218485856","0.695901489004937","59.6361999951325","26.4281262269801","0","0.9765034427412","0","1.71788211815503","0.854430492023467","0","4.01514889338508","6.38818509191855","9.47885115066213","48.8389977911428","5.29121778113401","73.4446126758476","3.62188706087307","46.5827416837311","0.976271762118856","1.20477251006337","1.52606260079288","316.810042514417","4.73863464146163","0","1.01695014156522","0","2.70461951673037","0","0","0","0","0","0","1540.88530227317","47.4002494904637","0.563824309069923","104.404354904931","8.10943924416061","31.0121765513149","54.4090390512973","3.65824819487018","C14088"
"4-acetoxyphenol","901.774627364747","16.4403307601751","111.73921084421","2.90088985234381","0","7.33454469560476","8.33608208275497","18.9912195509741","48.9422600574202","5.14749899123413","0","2.26777065575789","4.50540370316286","160.203838252005","259.821474299922","1.04463979918697","26.2972685957665","2.48678795237465","147.929953803889","20.6721928077951","63.4261985866922","84.7158367692568","13.9980360814657","4.56787144386147","15.7477504665967","15.4392901968171","1.96427073494259","7.01180322497903","1.11316794746239","241.190406223091","3.6681556845863","5.40719395936183","37.2472399705122","3.74368349123965","2.23351409246581","24.7296218485856","0.695901489004937","59.6361999951325","26.4281262269801","0","0.9765034427412","0","1.71788211815503","0.854430492023467","0","4.01514889338508","6.38818509191855","9.47885115066213","48.8389977911428","5.29121778113401","73.4446126758476","3.62188706087307","46.5827416837311","0.976271762118856","1.20477251006337","1.52606260079288","316.810042514417","4.73863464146163","0","1.01695014156522","0","2.70461951673037","0","0","0","0","0","0","1540.88530227317","47.4002494904637","0.563824309069923","104.404354904931","8.10943924416061","31.0121765513149","54.4090390512973","3.65824819487018","C13636"
