"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"K00030..IDH3..isocitrate.dehydrogenase..NAD....EC.1.1.1.41.","314"," 85","223","188","297","204","323","260","831","640","478","539","384","395","299"
"K00031..IDH1..IDH2..icd..isocitrate.dehydrogenase..EC.1.1.1.42."," 991"," 242"," 726"," 652"," 927"," 758","1059"," 859","2515","2177","1773","1781","1168","1393","1030"
"K00033..PGD..gnd..gntZ..6.phosphogluconate.dehydrogenase..EC.1.1.1.44.1.1.1.343."," 974"," 225"," 521"," 681","1006"," 401"," 585"," 474","2309","1279","1007","1128","1070"," 660"," 637"
"K00034..gdh..glucose.1.dehydrogenase..EC.1.1.1.47."," 3"," 3"," 8"," 4"," 7"," 8"," 8"," 2","14","16","12","15"," 7","12","10"
"K00035..gal..D.galactose.1.dehydrogenase..EC.1.1.1.48.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00036..G6PD..zwf..glucose.6.phosphate.1.dehydrogenase..EC.1.1.1.49.1.1.1.363.","234"," 54","200","201","287","124","187","150","527","468","355","338","266","294","219"
"K00038..E1.1.1.53..3alpha.or.20beta..hydroxysteroid.dehydrogenase..EC.1.1.1.53."," 81"," 37"," 88"," 57","166","173","190","141","393","354","314","270"," 62","209","143"
"K00041..uxaB..tagaturonate.reductase..EC.1.1.1.58.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00042..garR..glxR..2.hydroxy.3.oxopropionate.reductase..EC.1.1.1.60.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"K00045..E1.1.1.67..mtlK..mannitol.2.dehydrogenase..EC.1.1.1.67.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"K00046..idnO..gluconate.5.dehydrogenase..EC.1.1.1.69."," 4"," 1"," 8"," 4"," 4"," 4"," 5","12","18","22","12","20"," 5","20","20"
"K00048..fucO..lactaldehyde.reductase..EC.1.1.1.77.","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"K00049..GRHPR..glyoxylate.hydroxypyruvate.reductase..EC.1.1.1.79.1.1.1.81.","1","1","1","2","0","0","1","3","2","2","3","6","0","1","4"
"K00050..ttuD..hydroxypyruvate.reductase..EC.1.1.1.81.","0","1","1","0","2","0","0","2","1","2","1","0","0","0","0"
"K00052..leuB..IMDH..3.isopropylmalate.dehydrogenase..EC.1.1.1.85."," 5"," 0"," 1"," 1"," 3"," 2"," 2"," 2","10"," 6"," 3"," 5"," 0"," 6"," 1"
"K00053..ilvC..ketol.acid.reductoisomerase..EC.1.1.1.86.","1","0","0","1","3","0","0","0","2","2","2","0","0","1","0"
"K00054..mvaA..hydroxymethylglutaryl.CoA.reductase..EC.1.1.1.88.","1","0","4","0","2","0","1","4","3","8","4","0","0","2","3"
"K00055..E1.1.1.90..aryl.alcohol.dehydrogenase..EC.1.1.1.90."," 25"," 19"," 58"," 18"," 39"," 29"," 40"," 29","101"," 76"," 90"," 76"," 41"," 71"," 58"
"K00057..gpsA..glycerol.3.phosphate.dehydrogenase..NAD.P.....EC.1.1.1.94.","13"," 1"," 5","10","10"," 8","13","10","41","32","30","18"," 4","18","13"
"K00058..serA..PHGDH..D.3.phosphoglycerate.dehydrogenase...2.oxoglutarate.reductase..EC.1.1.1.95.1.1.1.399."," 92"," 21"," 66"," 76","101"," 46"," 63"," 44","220","189","137","129","103"," 94"," 80"
"K00059..fabG..OAR1..3.oxoacyl..acyl.carrier.protein..reductase..EC.1.1.1.100.","221"," 57","225","193","312","205","338","232","750","782","545","720","253","673","410"
"K00060..tdh..threonine.3.dehydrogenase..EC.1.1.1.103.","0","0","0","1","0","0","0","0","3","1","2","1","1","0","0"
"K00062..E1.1.1.116..D.arabinose.1.dehydrogenase..EC.1.1.1.116.","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"K00063..ARA1..D.arabinose.1.dehydrogenase..EC.1.1.1.117.","1","0","3","0","2","0","1","0","2","1","0","1","0","1","0"
"K00065..kduD..2.dehydro.3.deoxy.D.gluconate.5.dehydrogenase..EC.1.1.1.127."," 68"," 14"," 61"," 66","103"," 64","108"," 85","267","246","160","251"," 79","233","132"
"K00067..rfbD..rmlD..dTDP.4.dehydrorhamnose.reductase..EC.1.1.1.133.","29"," 4","10","17","24","18","34","15","75","61","41","48","21","38","28"
"K00074..paaH..hbd..fadB..mmgB..3.hydroxybutyryl.CoA.dehydrogenase..EC.1.1.1.157."," 96"," 21","106"," 92","125"," 57"," 71"," 66","197","196","167","153"," 97","123"," 89"
"K00075..murB..UDP.N.acetylmuramate.dehydrogenase..EC.1.3.1.98.","0","0","0","0","2","0","0","0","0","0","1","0","2","0","0"
"K00077..panE..apbA..2.dehydropantoate.2.reductase..EC.1.1.1.169.","0","0","2","0","0","0","0","0","0","0","1","0","0","1","0"
"K00078..DHDH..dihydrodiol.dehydrogenase...D.xylose.1.dehydrogenase..NADP...EC.1.3.1.20.1.1.1.179.","3","0","2","1","4","3","2","0","3","7","0","5","1","1","5"
"K00079..CBR1..carbonyl.reductase.1..EC.1.1.1.184.1.1.1.189.1.1.1.197."," 26"," 13"," 41"," 18"," 47"," 30"," 28"," 18","100"," 68"," 66"," 53"," 25"," 54"," 41"
"K00088..IMPDH..guaB..IMP.dehydrogenase..EC.1.1.1.205."," 518"," 148"," 506"," 421"," 684"," 507"," 798"," 633","2099","1988","1075","1199"," 687","1252"," 732"
"K00091..E1.1.1.219..dihydroflavonol.4.reductase..EC.1.1.1.219."," 6"," 1"," 1"," 0"," 4"," 1"," 2"," 3","15","11"," 8"," 7","12"," 8"," 6"
"K00097..pdxA..4.hydroxythreonine.4.phosphate.dehydrogenase..EC.1.1.1.262.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"K00098..idnD..L.idonate.5.dehydrogenase..EC.1.1.1.264.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"K00099..dxr..1.deoxy.D.xylulose.5.phosphate.reductoisomerase..EC.1.1.1.267.","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"K00100..bdhAB..butanol.dehydrogenase..EC.1.1.1...","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00101..lldD..L.lactate.dehydrogenase..cytochrome...EC.1.1.2.3."," 5"," 1"," 3","11","13"," 4","14"," 5","28","18","16","20","16","13"," 8"
"K00102..LDHD..dld..D.lactate.dehydrogenase..cytochrome...EC.1.1.2.4.","13"," 6","25","15","26","13","13","17","41","43","30","28","24","20","25"
"K00103..GULO..L.gulonolactone.oxidase..EC.1.1.3.8.","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0"
"K00104..glcD..glycolate.oxidase..EC.1.1.3.15."," 8"," 0"," 2"," 2"," 2"," 6"," 4"," 5","20","13"," 9","17"," 7"," 9"," 8"
"K00105..E1.1.3.21..alpha.glycerophosphate.oxidase..EC.1.1.3.21.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"K00106..XDH..xanthine.dehydrogenase.oxidase..EC.1.17.1.4.1.17.3.2.","1454"," 351"," 972","1203","1809"," 613"," 966"," 663","3099","2216","1816","1783","1410","1835","1290"
"K00108..betA..CHDH..choline.dehydrogenase..EC.1.1.99.1."," 2"," 1"," 9"," 3","14"," 3"," 5"," 8","33","29","21","24","14","11","16"
"K00111..glpA..glpD..glycerol.3.phosphate.dehydrogenase..EC.1.1.5.3."," 90"," 30"," 53"," 79","103"," 46"," 79"," 62","236","198","160","165"," 96","144"," 76"
"K00112..glpB..glycerol.3.phosphate.dehydrogenase.subunit.B..EC.1.1.5.3.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00113..glpC..glycerol.3.phosphate.dehydrogenase.subunit.C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00114..exaA..alcohol.dehydrogenase..cytochrome.c...EC.1.1.2.8.","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"K00116..mqo..malate.dehydrogenase..quinone...EC.1.1.5.4.","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"K00117..gcd..quinoprotein.glucose.dehydrogenase..EC.1.1.5.2.","0","0","0","0","0","0","2","0","4","1","1","2","0","1","2"
"K00119..E1.1.99.36..alcohol.dehydrogenase..nicotinoprotein...EC.1.1.99.36.","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"K00121..frmA..ADH5..adhC..S..hydroxymethyl.glutathione.dehydrogenase...alcohol.dehydrogenase..EC.1.1.1.284.1.1.1.1."," 436"," 161"," 556"," 318"," 499"," 324"," 511"," 358","1276","1173","1019"," 991"," 591"," 818"," 595"
"K00122..FDH..formate.dehydrogenase..EC.1.17.1.9."," 3"," 0"," 4"," 0"," 3"," 2"," 1"," 2","10"," 3"," 1"," 3"," 0"," 3"," 1"
"K00123..fdoG..fdhF..fdwA..formate.dehydrogenase.major.subunit..EC.1.17.1.9.","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0"
"K00124..fdoH..fdsB..formate.dehydrogenase.iron.sulfur.subunit","0","0","0","0","1","0","3","1","1","7","1","2","2","2","0"
"K00127..fdoI..fdsG..formate.dehydrogenase.subunit.gamma","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"K00128..ALDH..aldehyde.dehydrogenase..NAD....EC.1.2.1.3."," 4255"," 1189"," 4360"," 3102"," 6355"," 4196"," 6283"," 4916","17371","15802","10382","12807"," 4537","10153"," 7273"
"K00129..ALDH3..aldehyde.dehydrogenase..NAD.P.....EC.1.2.1.5."," 729"," 207"," 618"," 464"," 913"," 713","1042"," 778","2914","2540","1698","2140"," 658","1512","1202"
"K00130..betB..gbsA..betaine.aldehyde.dehydrogenase..EC.1.2.1.8.","252"," 71","263","184","317","227","386","279","942","763","609","659","281","507","418"
"K00131..gapN..glyceraldehyde.3.phosphate.dehydrogenase..NADP....EC.1.2.1.9.","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"K00133..asd..aspartate.semialdehyde.dehydrogenase..EC.1.2.1.11.","0","0","2","1","5","0","0","0","0","1","0","0","0","0","0"
"K00134..GAPDH..gapA..glyceraldehyde.3.phosphate.dehydrogenase..EC.1.2.1.12.","4029","1005","3201","2874","3387","1839","2600","2642","7643","5802","4683","4451","5123","3473","2732"
"K00135..gabD..succinate.semialdehyde.dehydrogenase...glutarate.semialdehyde.dehydrogenase..EC.1.2.1.16.1.2.1.79.1.2.1.20.","27"," 8","28","21","19","29","22","25","78","77","54","60","26","57","43"
"K00137..prr..aminobutyraldehyde.dehydrogenase..EC.1.2.1.19."," 8"," 1","11"," 3"," 6"," 7","12"," 7","29","38","18","24"," 9","20","12"
"K00138..aldB..aldehyde.dehydrogenase..EC.1.2.1..."," 4"," 4"," 2"," 3","10"," 0"," 8"," 4"," 9","10"," 8"," 4"," 6"," 5","10"
"K00140..mmsA..iolA..ALDH6A1..malonate.semialdehyde.dehydrogenase..acetylating....methylmalonate.semialdehyde.dehydrogenase..EC.1.2.1.18.1.2.1.27.","161"," 53","153","109","247","154","219","144","548","535","419","455","148","358","271"
"K00141..xylC..benzaldehyde.dehydrogenase..NAD...EC.1.2.1.28.","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"K00145..argC..N.acetyl.gamma.glutamyl.phosphate.reductase..EC.1.2.1.38.","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"K00146..feaB..phenylacetaldehyde.dehydrogenase..EC.1.2.1.39."," 385","  90"," 334"," 269"," 533"," 357"," 476"," 413","1526","1364"," 922","1122"," 384"," 886"," 636"
"K00147..proA..glutamate.5.semialdehyde.dehydrogenase..EC.1.2.1.41.","36"," 4","13","15","31","15","24","21","82","65","31","40","61","22","13"
"K00148..fdhA..glutathione.independent.formaldehyde.dehydrogenase..EC.1.2.1.46.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"K00150..gap2..glyceraldehyde.3.phosphate.dehydrogenase..NAD.P....EC.1.2.1.59.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"K00151..hpaE..hpcC..5.carboxymethyl.2.hydroxymuconic.semialdehyde.dehydrogenase..EC.1.2.1.60.","182"," 39","101","121","200","116","223","170","771","641","387","543","190","361","296"
"K00153..E1.1.1.306..S..hydroxymethyl.mycothiol.dehydrogenase..EC.1.1.1.306.","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"K00154..E1.2.1.68..coniferyl.aldehyde.dehydrogenase..EC.1.2.1.68.","42","11","28","41","43","25","40","31","91","92","74","66","45","65","47"
"K00156..poxB..pyruvate.dehydrogenase..quinone...EC.1.2.5.1.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"K00158..E1.2.3.3..poxL..pyruvate.oxidase..EC.1.2.3.3.","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0"
"K00161..PDHA..pdhA..pyruvate.dehydrogenase.E1.component.alpha.subunit..EC.1.2.4.1.","229"," 59","137","161","265","136","242","194","631","557","399","500","265","303","273"
"K00162..PDHB..pdhB..pyruvate.dehydrogenase.E1.component.beta.subunit..EC.1.2.4.1.","178"," 45","122","160","197","122","200","173","498","411","316","358","197","262","226"
"K00163..aceE..pyruvate.dehydrogenase.E1.component..EC.1.2.4.1.","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"K00164..OGDH..sucA..2.oxoglutarate.dehydrogenase.E1.component..EC.1.2.4.2.","1336"," 342"," 904"," 828","1430"," 902","1309","1062","3669","3184","2347","2533","1442","1841","1375"
"K00166..BCKDHA..bkdA1..2.oxoisovalerate.dehydrogenase.E1.component.alpha.subunit..EC.1.2.4.4.","101"," 35","121"," 78","127"," 90","112"," 93","300","254","272","287","133","206","144"
"K00167..BCKDHB..bkdA2..2.oxoisovalerate.dehydrogenase.E1.component.beta.subunit..EC.1.2.4.4."," 48"," 18"," 43"," 48"," 71"," 43"," 62"," 52","136","127"," 99","106"," 69"," 76"," 59"
"K00174..korA..oorA..oforA..2.oxoglutarate.2.oxoacid.ferredoxin.oxidoreductase.subunit.alpha..EC.1.2.7.3.1.2.7.11.","1","0","1","2","5","0","0","2","0","1","1","0","0","0","0"
"K00175..korB..oorB..oforB..2.oxoglutarate.2.oxoacid.ferredoxin.oxidoreductase.subunit.beta..EC.1.2.7.3.1.2.7.11.","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"K00176..korD..oorD..2.oxoglutarate.ferredoxin.oxidoreductase.subunit.delta..EC.1.2.7.3.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00177..korC..oorC..2.oxoglutarate.ferredoxin.oxidoreductase.subunit.gamma..EC.1.2.7.3.","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"K00179..iorA..indolepyruvate.ferredoxin.oxidoreductase..alpha.subunit..EC.1.2.7.8.","0","0","0","0","0","0","1","0","1","0","1","0","1","2","0"
"K00196..cooF..anaerobic.carbon.monoxide.dehydrogenase.iron.sulfur.subunit","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"K00198..cooS..acsA..anaerobic.carbon.monoxide.dehydrogenase.catalytic.subunit..EC.1.2.7.4.","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"K00200..fwdA..fmdA..formylmethanofuran.dehydrogenase.subunit.A..EC.1.2.7.12.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00208..fabI..enoyl..acyl.carrier.protein..reductase.I..EC.1.3.1.9.1.3.1.10.","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"K00213..DHCR7..7.dehydrocholesterol.reductase..EC.1.3.1.21.","38"," 7","32","30","27","28","18","28","80","65","47","40","45","41","30"
"K00214..BLVRA..bvdR..biliverdin.reductase..EC.1.3.1.24.","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0"
"K00215..dapB..4.hydroxy.tetrahydrodipicolinate.reductase..EC.1.17.1.8.","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"K00216..entA..2.3.dihydro.2.3.dihydroxybenzoate.dehydrogenase..EC.1.3.1.28.","0","0","0","0","1","0","0","0","1","0","1","0","1","0","0"
"K00218..por..protochlorophyllide.reductase..EC.1.3.1.33.","3","1","5","2","5","2","4","1","8","1","3","5","3","5","5"
"K00219..fadH..2.4.dienoyl.CoA.reductase..NADPH2...EC.1.3.1.34.","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"K00220..tyrC..cyclohexadieny.prephenate.dehydrogenase..EC.1.3.1.43.1.3.1.12.","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"K00222..TM7SF2..ERG24..Delta14.sterol.reductase..EC.1.3.1.70."," 93"," 15"," 65"," 72"," 93"," 45"," 65"," 67","195","161","132","141"," 93"," 85"," 95"
"K00223..ERG4..Delta24.24.1...sterol.reductase..EC.1.3.1.71.","30"," 5"," 7","18","21"," 7","13"," 8","56","52","26","36","16","20","19"
"K00226..pyrD..dihydroorotate.dehydrogenase..fumarate...EC.1.3.98.1.","2","0","0","4","1","0","0","0","1","0","1","0","0","0","0"
"K00227..SC5DL..ERG3..Delta7.sterol.5.desaturase..EC.1.14.19.20."," 77","  8"," 37"," 40"," 72"," 38"," 62"," 41","180","141"," 94","112"," 75"," 93"," 78"
"K00228..CPOX..hemF..coproporphyrinogen.III.oxidase..EC.1.3.3.3."," 48"," 16"," 25"," 33"," 61"," 41"," 74"," 51","242","179","129","127"," 76","107"," 98"
"K00231..PPOX..hemY..protoporphyrinogen.coproporphyrinogen.III.oxidase..EC.1.3.3.4.1.3.3.15."," 4"," 1"," 3"," 4"," 0"," 1"," 1"," 3","11"," 4"," 5"," 8"," 1"," 5"," 2"
"K00232..E1.3.3.6..ACOX1..ACOX3..acyl.CoA.oxidase..EC.1.3.3.6.","146"," 34","135"," 82","176","118","162"," 96","436","339","273","269","154","193","147"
"K00234..SDHA..SDH1..succinate.dehydrogenase..ubiquinone..flavoprotein.subunit..EC.1.3.5.1."," 519","  95"," 288"," 363"," 577"," 325"," 492"," 357","1360","1230"," 878","1161"," 567"," 859"," 626"
"K00235..SDHB..SDH2..succinate.dehydrogenase..ubiquinone..iron.sulfur.subunit..EC.1.3.5.1.","202"," 41","184","155","226","122","205","171","513","370","278","333","244","270","174"
"K00236..SDHC..SDH3..succinate.dehydrogenase..ubiquinone..cytochrome.b560.subunit"," 7"," 2"," 1"," 7"," 5"," 3"," 6"," 8","14","19"," 9","10"," 8"," 7","10"
"K00237..SDHD..SDH4..succinate.dehydrogenase..ubiquinone..membrane.anchor.subunit","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"K00239..sdhA..frdA..succinate.dehydrogenase...fumarate.reductase..flavoprotein.subunit..EC.1.3.5.1.1.3.5.4.","226"," 58","136","192","269","157","250","189","624","517","413","532","242","351","309"
"K00240..sdhB..frdB..succinate.dehydrogenase...fumarate.reductase..iron.sulfur.subunit..EC.1.3.5.1.1.3.5.4.","171"," 44","157","119","160"," 96","174","131","377","332","237","252","187","213","135"
"K00241..sdhC..frdC..succinate.dehydrogenase...fumarate.reductase..cytochrome.b.subunit","13"," 5"," 5","11","12"," 5","16"," 9","31","37","27","28","11","16"," 8"
"K00243..K00243..uncharacterized.protein","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00244..frdA..fumarate.reductase.flavoprotein.subunit..EC.1.3.5.4.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"K00245..frdB..fumarate.reductase.iron.sulfur.subunit..EC.1.3.5.4.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00248..ACADS..bcd..butyryl.CoA.dehydrogenase..EC.1.3.8.1."," 53"," 24"," 66"," 67"," 86"," 47"," 67"," 68","176","175","156","138"," 98"," 95"," 90"
"K00249..ACADM..acd..acyl.CoA.dehydrogenase..EC.1.3.8.7."," 836"," 192"," 596"," 570"," 828"," 482"," 708"," 662","2048","1742","1358","1499"," 903","1110"," 890"
"K00252..GCDH..gcdH..glutaryl.CoA.dehydrogenase..EC.1.3.8.6.","176"," 28","156","121","158"," 85","137","120","379","365","253","320","173","213","156"
"K00253..IVD..ivd..isovaleryl.CoA.dehydrogenase..EC.1.3.8.4.","245"," 65","237","208","342","217","333","246","745","761","657","663","288","516","392"
"K00254..DHODH..pyrD..dihydroorotate.dehydrogenase..EC.1.3.5.2.","15"," 9","17","12","16","17","19","11","63","52","43","42","29","32","31"
"K00257..mbtN..fadE14..acyl.ACP.dehydrogenase..EC.1.3.99...","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00259..ald..alanine.dehydrogenase..EC.1.4.1.1.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"K00260..gudB..rocG..glutamate.dehydrogenase..EC.1.4.1.2."," 3"," 1"," 5"," 0"," 3"," 6"," 2"," 1","12","20"," 9","12"," 3","11"," 6"
"K00261..GLUD1_2..gdhA..glutamate.dehydrogenase..NAD.P.....EC.1.4.1.3.","226"," 70","185","156","247","138","216","179","678","559","401","421","234","325","238"
"K00262..E1.4.1.4..gdhA..glutamate.dehydrogenase..NADP....EC.1.4.1.4.","13"," 2","13"," 7","17","11","11"," 7","41","31","25","25","15","22"," 8"
"K00263..E1.4.1.9..leucine.dehydrogenase..EC.1.4.1.9.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00264..GLT1..glutamate.synthase..NADH...EC.1.4.1.14.","0","0","0","1","1","1","2","0","5","2","1","2","1","3","0"
"K00265..gltB..glutamate.synthase..NADPH..large.chain..EC.1.4.1.13.","0","0","1","2","4","0","1","4","0","0","2","1","1","0","1"
"K00266..gltD..glutamate.synthase..NADPH..small.chain..EC.1.4.1.13.","0","0","2","0","2","0","1","0","1","2","0","1","0","0","0"
"K00273..DAO..aao..D.amino.acid.oxidase..EC.1.4.3.3.","2","0","5","0","0","0","5","0","1","3","1","1","0","2","2"
"K00274..MAO..aofH..monoamine.oxidase..EC.1.4.3.4.","163"," 43"," 56","127","245"," 17"," 23"," 20"," 70"," 52"," 64"," 57"," 71"," 42"," 31"
"K00275..pdxH..PNPO..pyridoxamine.5..phosphate.oxidase..EC.1.4.3.5.","21"," 8","27","33","33","13","20","20","70","42","34","40","20","26","22"
"K00276..AOC3..AOC2..tynA..primary.amine.oxidase..EC.1.4.3.21.","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"K00278..nadB..L.aspartate.oxidase..EC.1.4.3.16.","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"K00281..GLDC..gcvP..glycine.dehydrogenase..EC.1.4.4.2."," 5"," 2","15"," 0"," 4"," 1"," 7"," 5","11"," 4","19"," 9"," 2","10"," 3"
"K00282..gcvPA..glycine.dehydrogenase.subunit.1..EC.1.4.4.2.","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"K00283..gcvPB..glycine.dehydrogenase.subunit.2..EC.1.4.4.2.","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"K00284..GLU..gltS..glutamate.synthase..ferredoxin...EC.1.4.7.1.","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00285..dadA..D.amino.acid.dehydrogenase..EC.1.4.5.1.","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
